EnsemblID	Chr	Start	End	Band	Symbol	isHK	isTF	isExtreme	LFC	P.val
ENSG00000001461	1	24415794	24472976	p36.11	NIPAL3	0	0	0	-0.0516853951858227	0.317720007523348
ENSG00000001631	7	92198969	92246166	q21.2	KRIT1	0	0	0	0.101947572096055	0.000890009304527114
ENSG00000004534	3	49940007	50100045	p21.31	RBM6	1	0	0	0.0222453354944507	0.466466377651022
ENSG00000005100	17	5440912	5469060	p13.2	DHX33	1	0	0	-0.212477640992416	1.28059539945639e-10
ENSG00000005812	13	76992598	77027195	q22.3	FBXL3	1	0	0	-0.341699217257373	2.59015823434968e-14
ENSG00000005884	17	50055968	50090481	q21.33	ITGA3	0	0	0	-0.203408047201219	0.00288414054143766
ENSG00000006695	17	14069496	14208677	p12	COX10	0	0	0	0.20531078838309	5.50615384570755e-06
ENSG00000006715	7	38722963	38932394	p14.1	VPS41	0	0	0	0.424925578599222	2.19963555400596e-27
ENSG00000006744	17	12992391	13018187	p12	ELAC2	1	0	0	-0.0944135580569418	0.00165128184648019
ENSG00000007168	17	2593210	2685615	p13.3	PAFAH1B1	1	0	1	-0.209004750143798	6.05367139884931e-12
ENSG00000007202	17	28614440	28645454	q11.2	KIAA0100	1	0	0	-0.0983867033826895	0.0399745173744746
ENSG00000010322	3	52455118	52493071	p21.1	NISCH	1	0	0	-0.333208256106084	5.20716588303533e-28
ENSG00000011258	17	51177425	51260163	q21.33	MBTD1	0	0	0	-0.0699684711856872	0.166185722878208
ENSG00000011260	17	51260528	51297936	q21.33	UTP18	0	0	0	0.607824824040982	6.89733382832868e-28
ENSG00000011275	7	5620047	5781739	p22.1	RNF216	1	0	0	0.158602268632987	1.27066079434342e-07
ENSG00000011295	17	15999380	16045015	p12	TTC19	1	0	0	0.138328148926748	0.00329482028186831
ENSG00000013375	6	83161150	83193936	q14.1	PGM3	0	0	0	0.33031456082541	9.25517328814933e-13
ENSG00000013392	6	83193379	83198932	q14.1	RWDD2A	0	0	0	0.0525157592991907	0.304159061331298
ENSG00000014216	11	65180566	65212006	q13.1	CAPN1	1	0	0	0.304842830038789	2.51947869197795e-15
ENSG00000015532	17	50346092	50363138	q21.33	XYLT2	1	0	0	0.348464135502294	9.42557381192914e-15
ENSG00000015676	7	44379121	44490880	p13	NUDCD3	0	0	0	0.375113025287144	8.97004612136935e-25
ENSG00000016864	3	52694488	52706032	p21.1	GLT8D1	1	0	0	0.181608803388889	1.8568345288773e-11
ENSG00000023287	8	52622456	52745843	q11.23	RB1CC1	1	0	0	0.240917982640005	1.47062223174152e-07
ENSG00000023734	12	15882391	15903478	p12.3	STRAP	1	0	0	-0.0790458991800138	0.0800978247179399
ENSG00000029725	17	5282265	5385812	p13.2	RABEP1	1	0	0	0.796967079555691	5.64148500233601e-56
ENSG00000032742	13	20567069	20691437	q12.11	IFT88	0	0	0	1.03638315848116	4.6380132995735e-78
ENSG00000033050	7	151212490	151227230	q36.1	ABCF2	1	0	0	0.127685342968255	3.91340610639831e-06
ENSG00000033327	11	78215297	78418348	q14.1	GAB2	0	0	0	-0.406811136917563	2.87370077914506e-05
ENSG00000034152	17	21284672	21315240	p11.2	MAP2K3	0	0	0	-0.485440637723346	4.75554513094918e-29
ENSG00000034693	6	143450807	143490010	q24.2	PEX3	0	0	0	-0.120654576228961	0.00296365306633301
ENSG00000037474	5	6599239	6633291	p15.31	NSUN2	1	0	0	0.30225444011144	8.06067701518337e-14
ENSG00000040531	17	3636468	3661542	p13.2	CTNS	0	0	0	-0.197728120720985	1.84333217575672e-09
ENSG00000040633	17	7235028	7239722	p13.1	PHF23	1	0	0	0.161823819645641	8.03091354305964e-08
ENSG00000042429	11	93784227	93814963	q21	MED17	0	0	0	-0.170878327337849	6.44031452718999e-05
ENSG00000046651	X	13734745	13769353	p22.2	OFD1	0	0	0	0.1488965794159	0.0047307970141652
ENSG00000047056	10	1049538	1132384	p15.3	WDR37	0	0	1	-0.104195837204624	0.0086724606132849
ENSG00000047230	X	16588003	16712936	p22.2	CTPS2	0	0	0	1.032887333366	9.88829618799254e-55
ENSG00000047249	8	53715557	53843558	q11.23	ATP6V1H	1	0	0	0.848194163534338	3.3406612789554e-63
ENSG00000047621	12	4487728	4538508	p13.32	C12orf4	0	0	0	0.179812905212085	1.53816768028591e-06
ENSG00000048405	7	127346790	127431924	q31.33	ZNF800	0	1	0	0.326905079535801	8.82006713030247e-20
ENSG00000048544	6	42206801	42217865	p21.1	MRPS10	1	0	0	0.130878667185995	0.000280293798706473
ENSG00000049540	7	74027789	74069907	q11.23	ELN	0	0	0	0.136610338312426	0.221175299092607
ENSG00000049541	7	74231499	74254458	q11.23	RFC2	1	0	0	0.472328643766283	1.13412434309443e-45
ENSG00000049656	5	1317744	1345099	p15.33	CLPTM1L	1	0	1	0.357883766888916	2.06758164708998e-19
ENSG00000050820	16	75228187	75268053	q23.1	BCAR1	0	0	0	0.12288545492009	0.000251438467046162
ENSG00000051009	11	6211335	6234711	p15.4	FAM160A2	1	0	0	-0.107159904550323	0.00407333854270613
ENSG00000052723	1	114769479	114780685	p13.2	SIKE1	1	0	0	-0.218812499313744	5.4725075097571e-08
ENSG00000052749	10	97356358	97426076	q24.1	RRP12	0	0	0	0.787949245531444	2.28928727028114e-89
ENSG00000053371	1	19303965	19312146	p36.13	AKR7A2	1	0	0	0.160008682207427	0.000149586207023597
ENSG00000054611	22	46762617	47175699	q13.31	TBC1D22A	1	0	0	0.147886332765226	6.51677243413952e-07
